company,listing_date,final_price,price_change,retail_subscription 
Prince Pipes & Fittings Ltd.,2019-12-30,178,-6.24,1.63
Ujjivan Small Finance Bank Ltd.,2019-12-12,37,51.22,45.29
CSB Bank Ltd.,2019-12-04,195,53.87,40.98
Vishwaraj Sugar Industries Ltd.,2019-10-15,60,0.58,0.59
Indian Railway Catering & Tourism Corp.Ltd.,2019-10-14,320,127.42,13.28
Sterling & Wilson Solar Ltd.,2019-08-20,780,-6.9,0.93
Spandana Sphoorty Financial Ltd.,2019-08-19,856,-0.96,0.09
Affle (India) Ltd.,2019-08-08,745,17.27,10.23
IndiaMART InterMESH Ltd.,2019-07-04,973,33.81,13.15
Neogen Chemicals Ltd.,2019-05-08,215,22.58,15.38
Polycab India Ltd.,2019-04-16,538,21.71,4.36
Metropolis Healthcare Ltd.,2019-04-15,880,9.07,2.05
Rail Vikas Nigam Ltd.,2019-04-11,19,0.26,2.64
MSTC Ltd.,2019-03-29,120,-5.04,2.65
Chalet Hotels Ltd.,2019-02-07,280,4.18,0.02
Xelpmoc Design & Tech Ltd.,2019-02-04,66,-9.32,2.31
Mrs.Bectors Food Specialities Ltd.,2020-12-24,288,106.32,25.44
Burger King India Ltd.,2020-12-14,60,125.0,56.92
Gland Pharma Ltd.,2020-11-20,1500,21.3,0.19
Equitas Small Finance Bank Ltd.,2020-11-02,33,-0.61,1.53
Likhitha Infrastructure Ltd.,2020-10-15,120,13.75,19.48
UTI Asset Management Co.Ltd.,2020-10-12,554,-14.04,1.97
Mazagon Dock Shipbuilders Ltd.,2020-10-12,145,18.59,32.15
Angel Broking Ltd.,2020-10-05,306,-9.87,3.36
Computer Age Management Services Ltd.,2020-10-01,1230,13.95,4.85
Chemcon Speciality Chemicals Ltd.,2020-10-01,340,72.0,35.79
Route Mobile Ltd.,2020-09-21,350,86.09,11.54
Happiest Minds Technologies Ltd.,2020-09-17,166,123.46,60.3
Rossari Biotech Ltd.,2020-07-23,425,74.51,6.2
SBI Cards & Payment Services Ltd.,2020-03-16,755,-9.75,2.17
CMS Info Systems Ltd.,2021-12-31,216,10.28,1.26
Supriya Lifescience Ltd.,2021-12-28,274,42.65,49.31
HP Adhesives Ltd.,2021-12-27,274,20.71,47.27
Data Patterns (India) Ltd.,2021-12-24,585,29.06,20.21
Medplus Health Services Ltd.,2021-12-23,796,40.85,4.17
Metro Brands Ltd.,2021-12-22,500,-1.33,0.63
C.E.Info systems Ltd.,2021-12-21,1033,34.91,13.18
Shriram Properties Ltd.,2021-12-20,118,-15.59,8.05
Rategain Travel Technologies Ltd.,2021-12-17,425,-19.99,5.46
Anand Rathi Wealth Ltd.,2021-12-14,550,6.1,5.62
Tega Industries Ltd.,2021-12-13,453,60.28,25.84
Star Health & Allied Insurance Co.Ltd.,2021-12-10,900,0.76,0.59
Go Fashion (India) Ltd.,2021-11-30,690,81.7,42.26
Tarsons Products Ltd.,2021-11-26,662,23.63,8.89
Latent View Analytics Ltd.,2021-11-23,197,148.1,106.09
One 97 Communications Ltd.,2021-11-18,2150,-27.4,1.27
Sapphire Foods India Ltd.,2021-11-18,1180,2.67,6.65
S.J.S.Enterprises Ltd.,2021-11-15,542,-5.87,0.77
Sigachi Industries Ltd.,2021-11-15,163,267.18,68.94
PB Fintech Ltd.,2021-11-15,980,22.68,2.65
Fino Payments Bank Ltd.,2021-11-12,577,-5.74,3.78
FSN E-Commerce Ventures Ltd.,2021-11-10,1125,96.07,10.28
Aditya Birla Sun Life AMC Ltd.,2021-10-11,712,-1.76,2.36
Paras Defence & Space Technologies Ltd.,2021-10-01,175,181.4,100.8
Sansera Engineering Ltd.,2021-09-24,744,10.02,2.34
Vijaya Diagnostic Centre Ltd.,2021-09-14,531,16.78,0.7
Aptus Value Housing Finance India Ltd.,2021-08-24,353,-1.73,1.04
Chemplast Sanmar Ltd.,2021-08-24,541,-1.0,1.64
Nuvoco Vistas Corp.Ltd.,2021-08-23,570,-6.72,0.53
CarTrade Tech Ltd.,2021-08-20,1618,-7.23,2.3
Krsnaa Diagnostics Ltd.,2021-08-16,954,3.46,37.15
Devyani International Ltd.,2021-08-16,90,37.22,34.0
Exxaro Tiles Ltd.,2021-08-16,120,10.25,32.2
Windlas Biotech Ltd.,2021-08-16,460,-11.49,20.59
Rolex Rings Ltd.,2021-08-09,900,29.67,21.67
Glenmark Life Sciences Ltd.,2021-08-06,720,3.96,12.98
Tatva Chintan Pharma Chem Ltd.,2021-07-29,1083,113.5,31.37
Zomato Ltd.,2021-07-23,76,65.59,6.34
G R Infraprojects Ltd.,2021-07-19,837,108.73,11.11
Clean Science & Technology Ltd.,2021-07-19,900,76.14,8.09
India Pesticides Ltd.,2021-07-05,296,15.93,9.66
Dodla Dairy Ltd.,2021-06-28,428,42.5,9.7
Krishna Institute of Medical Sciences Ltd.,2021-06-28,825,20.84,2.13
Shyam Metalics & Energy Ltd.,2021-06-24,306,22.92,10.0
Sona BLW Precision Forgings Ltd.,2021-06-24,291,24.12,1.21
Macrotech Developers Ltd.,2021-04-19,486,-4.27,0.24
Nazara Technologies Ltd.,2021-03-30,1101,44.6,67.76
Kalyan Jewellers India Ltd.,2021-03-26,87,-13.56,2.18
Suryoday Small Finance Bank Ltd.,2021-03-26,305,-8.92,2.35
